text,emotion
I am not feeling good today #816,sad
I am feeling sad #817,sad
I am not feeling good today #818,sad
I feel very lonely today #819,sad
I feel very lonely today #820,sad
I feel emotionally down #821,sad
I feel very lonely today #822,sad
Today has been a depressing day #823,sad
Today has been a depressing day #824,sad
I am not feeling good today #825,sad
I feel very lonely today #826,sad
I am not feeling good today #827,sad
Today has been a depressing day #828,sad
I am feeling sad #829,sad
I am feeling sad #830,sad
I am not feeling good today #831,sad
I feel very lonely today #832,sad
Today has been a depressing day #833,sad
I am not feeling good today #834,sad
I am feeling sad #835,sad
I am feeling sad #836,sad
I am feeling sad #837,sad
I am not feeling good today #838,sad
Today has been a depressing day #839,sad
I am not feeling good today #840,sad
I feel emotionally down #841,sad
Today has been a depressing day #842,sad
I feel very lonely today #843,sad
I feel very lonely today #844,sad
Today has been a depressing day #845,sad
I am feeling sad #846,sad
Today has been a depressing day #847,sad
I feel very lonely today #848,sad
I am feeling sad #849,sad
Today has been a depressing day #850,sad
I feel emotionally down #851,sad
I am not feeling good today #852,sad
I am not feeling good today #853,sad
I am feeling sad #854,sad
I feel very lonely today #855,sad
I am feeling sad #856,sad
I feel very lonely today #857,sad
Today has been a depressing day #858,sad
I am feeling sad #859,sad
I feel emotionally down #860,sad
I am feeling sad #861,sad
I am not feeling good today #862,sad
I feel emotionally down #863,sad
Today has been a depressing day #864,sad
I feel very lonely today #865,sad
I feel emotionally down #866,sad
I am feeling sad #867,sad
Today has been a depressing day #868,sad
I feel emotionally down #869,sad
I am not feeling good today #870,sad
I am not feeling good today #871,sad
I am feeling sad #872,sad
Today has been a depressing day #873,sad
I feel emotionally down #874,sad
Today has been a depressing day #875,sad
I am feeling sad #876,sad
I feel very lonely today #877,sad
Today has been a depressing day #878,sad
I am not feeling good today #879,sad
I am not feeling good today #880,sad
I am feeling sad #881,sad
I am not feeling good today #882,sad
I am not feeling good today #883,sad
I am feeling sad #884,sad
I feel very lonely today #885,sad
I feel very lonely today #886,sad
I feel very lonely today #887,sad
I am feeling sad #888,sad
I feel very lonely today #889,sad
I feel emotionally down #890,sad
I am not feeling good today #891,sad
Today has been a depressing day #892,sad
I feel emotionally down #893,sad
Today has been a depressing day #894,sad
I am not feeling good today #895,sad
I am not feeling good today #896,sad
Today has been a depressing day #897,sad
I feel emotionally down #898,sad
I feel emotionally down #899,sad
I am feeling sad #900,sad
I feel emotionally down #901,sad
I am not feeling good today #902,sad
Today has been a depressing day #903,sad
Today has been a depressing day #904,sad
I feel very lonely today #905,sad
I am feeling sad #906,sad
Today has been a depressing day #907,sad
I am not feeling good today #908,sad
I feel emotionally down #909,sad
I am not feeling good today #910,sad
I feel very lonely today #911,sad
Today has been a depressing day #912,sad
I feel emotionally down #913,sad
I feel emotionally down #914,sad
I feel very lonely today #915,sad
Today has been a depressing day #916,sad
I am feeling sad #917,sad
I am not feeling good today #918,sad
I am feeling sad #919,sad
I am not feeling good today #920,sad
I feel emotionally down #921,sad
I am not feeling good today #922,sad
I am feeling sad #923,sad
Today has been a depressing day #924,sad
Today has been a depressing day #925,sad
I feel very lonely today #926,sad
I am feeling sad #927,sad
I am not feeling good today #928,sad
I feel very lonely today #929,sad
Today has been a depressing day #930,sad
I feel very lonely today #931,sad
I am not feeling good today #932,sad
I am not feeling good today #933,sad
I feel emotionally down #934,sad
I am not feeling good today #935,sad
I feel very lonely today #936,sad
I feel very lonely today #937,sad
I am feeling sad #938,sad
I feel very lonely today #939,sad
I am feeling sad #940,sad
Today has been a depressing day #941,sad
I am feeling sad #942,sad
I am not feeling good today #943,sad
I feel emotionally down #944,sad
I feel emotionally down #945,sad
Today has been a depressing day #946,sad
I am not feeling good today #947,sad
I feel emotionally down #948,sad
Today has been a depressing day #949,sad
I am not feeling good today #950,sad
I feel very lonely today #951,sad
I am feeling sad #952,sad
Today has been a depressing day #953,sad
I am feeling sad #954,sad
I am not feeling good today #955,sad
I am feeling sad #956,sad
I feel very lonely today #957,sad
I am not feeling good today #958,sad
I feel emotionally down #959,sad
I am not feeling good today #960,sad
Today has been a depressing day #961,sad
I am not feeling good today #962,sad
Today has been a depressing day #963,sad
I feel very lonely today #964,sad
Today has been a depressing day #965,sad
Today has been a depressing day #966,sad
Today has been a depressing day #967,sad
I feel emotionally down #968,sad
I am feeling sad #969,sad
I am feeling sad #970,sad
I am not feeling good today #971,sad
I feel very lonely today #972,sad
I am feeling sad #973,sad
I feel very lonely today #974,sad
I am not feeling good today #975,sad
I feel very lonely today #976,sad
I feel emotionally down #977,sad
I am feeling sad #978,sad
I am not feeling good today #979,sad
I am feeling sad #980,sad
Today has been a depressing day #981,sad
I feel very lonely today #982,sad
I feel emotionally down #983,sad
I feel very lonely today #984,sad
I feel very lonely today #985,sad
I am feeling sad #986,sad
I am feeling sad #987,sad
I am not feeling good today #988,sad
I feel emotionally down #989,sad
I feel emotionally down #990,sad
I feel very lonely today #991,sad
I am not feeling good today #992,sad
I am feeling sad #993,sad
I feel very lonely today #994,sad
I am feeling sad #995,sad
I feel emotionally down #996,sad
I feel very lonely today #997,sad
I am feeling sad #998,sad
I feel emotionally down #999,sad
I feel emotionally down #1000,sad
I am not feeling good today #1001,sad
I am feeling sad #1002,sad
Today has been a depressing day #1003,sad
I am feeling sad #1004,sad
I am not feeling good today #1005,sad
I am not feeling good today #1006,sad
I feel very lonely today #1007,sad
I feel very lonely today #1008,sad
I am feeling sad #1009,sad
I am feeling sad #1010,sad
I feel emotionally down #1011,sad
I feel very lonely today #1012,sad
I am not feeling good today #1013,sad
I am not feeling good today #1014,sad
I feel emotionally down #1015,sad
I feel very lonely today #1016,sad
Today has been a depressing day #1017,sad
I feel emotionally down #1018,sad
Today has been a depressing day #1019,sad
I am not feeling good today #1020,sad
I am feeling sad #1021,sad
I am feeling sad #1022,sad
I am feeling sad #1023,sad
Today has been a depressing day #1024,sad
Today has been a depressing day #1025,sad
I am not feeling good today #1026,sad
I am not feeling good today #1027,sad
I am not feeling good today #1028,sad
I feel emotionally down #1029,sad
I feel emotionally down #1030,sad
Today has been a depressing day #1031,sad
I feel very lonely today #1032,sad
I feel very lonely today #1033,sad
I am feeling sad #1034,sad
Today has been a depressing day #1035,sad
Today has been a depressing day #1036,sad
I am feeling sad #1037,sad
I am not feeling good today #1038,sad
Today has been a depressing day #1039,sad
I feel very lonely today #1040,sad
I am not feeling good today #1041,sad
I am not feeling good today #1042,sad
I feel emotionally down #1043,sad
Today has been a depressing day #1044,sad
Today has been a depressing day #1045,sad
I am not feeling good today #1046,sad
I am not feeling good today #1047,sad
I feel emotionally down #1048,sad
I feel very lonely today #1049,sad
I feel very lonely today #1050,sad
I feel very lonely today #1051,sad
I am feeling sad #1052,sad
I feel very lonely today #1053,sad
I am not feeling good today #1054,sad
Today has been a depressing day #1055,sad
Today has been a depressing day #1056,sad
I feel emotionally down #1057,sad
I feel emotionally down #1058,sad
Today has been a depressing day #1059,sad
I am not feeling good today #1060,sad
I am feeling sad #1061,sad
I am feeling sad #1062,sad
I feel emotionally down #1063,sad
Today has been a depressing day #1064,sad
I am not feeling good today #1065,sad
Today has been a depressing day #1066,sad
I feel emotionally down #1067,sad
Today has been a depressing day #1068,sad
I am not feeling good today #1069,sad
I am feeling sad #1070,sad
I am feeling sad #1071,sad
I feel emotionally down #1072,sad
I am feeling sad #1073,sad
I feel emotionally down #1074,sad
I feel very lonely today #1075,sad
I am not feeling good today #1076,sad
I feel very lonely today #1077,sad
I feel very lonely today #1078,sad
Today has been a depressing day #1079,sad
I feel emotionally down #1080,sad
I feel very lonely today #1081,sad
I feel emotionally down #1082,sad
I feel very lonely today #1083,sad
I feel emotionally down #1084,sad
I am not feeling good today #1085,sad
I am feeling sad #1086,sad
I am not feeling good today #1087,sad
I am not feeling good today #1088,sad
I am feeling sad #1089,sad
I feel emotionally down #1090,sad
I feel very lonely today #1091,sad
I am feeling sad #1092,sad
I am feeling sad #1093,sad
I am not feeling good today #1094,sad
I am not feeling good today #1095,sad
I feel very lonely today #1096,sad
I feel emotionally down #1097,sad
I am not feeling good today #1098,sad
Today has been a depressing day #1099,sad
Today has been a depressing day #1100,sad
I am feeling sad #1101,sad
Today has been a depressing day #1102,sad
Today has been a depressing day #1103,sad
I feel very lonely today #1104,sad
I am feeling sad #1105,sad
Today has been a depressing day #1106,sad
I feel emotionally down #1107,sad
I feel emotionally down #1108,sad
I am not feeling good today #1109,sad
I feel emotionally down #1110,sad
I feel emotionally down #1111,sad
I am not feeling good today #1112,sad
I am feeling sad #1113,sad
I am feeling sad #1114,sad
I am feeling sad #1115,sad
I feel very lonely today #1116,sad
I feel emotionally down #1117,sad
I am feeling sad #1118,sad
Today has been a depressing day #1119,sad
I feel emotionally down #1120,sad
I am not feeling good today #1121,sad
I am not feeling good today #1122,sad
I am feeling sad #1123,sad
Today has been a depressing day #1124,sad
I am not feeling good today #1125,sad
I am not feeling good today #1126,sad
Today has been a depressing day #1127,sad
I am feeling sad #1128,sad
Today has been a depressing day #1129,sad
I feel emotionally down #1130,sad
I feel very lonely today #1131,sad
I am feeling sad #1132,sad
I feel emotionally down #1133,sad
I feel emotionally down #1134,sad
I feel emotionally down #1135,sad
Today has been a depressing day #1136,sad
I feel emotionally down #1137,sad
I feel emotionally down #1138,sad
I am feeling sad #1139,sad
I feel emotionally down #1140,sad
I am not feeling good today #1141,sad
I feel emotionally down #1142,sad
I am not feeling good today #1143,sad
Today has been a depressing day #1144,sad
I feel emotionally down #1145,sad
I am not feeling good today #1146,sad
I feel emotionally down #1147,sad
Today has been a depressing day #1148,sad
Today has been a depressing day #1149,sad
I feel very lonely today #1150,sad
Today has been a depressing day #1151,sad
I feel emotionally down #1152,sad
Today has been a depressing day #1153,sad
Today has been a depressing day #1154,sad
I feel very lonely today #1155,sad
I am not feeling good today #1156,sad
Today has been a depressing day #1157,sad
I am not feeling good today #1158,sad
Today has been a depressing day #1159,sad
I feel very lonely today #1160,sad
Today has been a depressing day #1161,sad
I feel emotionally down #1162,sad
I feel emotionally down #1163,sad
I am feeling sad #1164,sad
Today has been a depressing day #1165,sad
I am not feeling good today #1166,sad
I am not feeling good today #1167,sad
I am feeling sad #1168,sad
Today has been a depressing day #1169,sad
I feel emotionally down #1170,sad
I feel emotionally down #1171,sad
I am feeling sad #1172,sad
I am not feeling good today #1173,sad
I feel emotionally down #1174,sad
I am not feeling good today #1175,sad
I am not feeling good today #1176,sad
Today has been a depressing day #1177,sad
I am feeling sad #1178,sad
Today has been a depressing day #1179,sad
Today has been a depressing day #1180,sad
I feel emotionally down #1181,sad
I feel emotionally down #1182,sad
I am feeling sad #1183,sad
Today has been a depressing day #1184,sad
I am not feeling good today #1185,sad
I feel emotionally down #1186,sad
I feel very lonely today #1187,sad
Today has been a depressing day #1188,sad
I feel emotionally down #1189,sad
I feel very lonely today #1190,sad
I feel very lonely today #1191,sad
I am not feeling good today #1192,sad
I feel emotionally down #1193,sad
I am feeling sad #1194,sad
I am feeling sad #1195,sad
I feel very lonely today #1196,sad
I feel very lonely today #1197,sad
I am feeling sad #1198,sad
I am feeling sad #1199,sad
I am not feeling good today #1200,sad
I feel emotionally down #1201,sad
I am not feeling good today #1202,sad
Today has been a depressing day #1203,sad
I feel very lonely today #1204,sad
I am not feeling good today #1205,sad
I feel emotionally down #1206,sad
I feel very lonely today #1207,sad
Today has been a depressing day #1208,sad
I feel emotionally down #1209,sad
I am not feeling good today #1210,sad
I feel emotionally down #1211,sad
I feel very lonely today #1212,sad
I am feeling sad #1213,sad
Today has been a depressing day #1214,sad
I am feeling sad #1215,sad
I feel emotionally down #1216,sad
I am feeling sad #1217,sad
I am feeling sad #1218,sad
I am feeling sad #1219,sad
Today has been a depressing day #1220,sad
I feel emotionally down #1221,sad
I am feeling sad #1222,sad
I am not feeling good today #1223,sad
Today has been a depressing day #1224,sad
I feel very lonely today #1225,sad
I am feeling sad #1226,sad
I am feeling sad #1227,sad
Today has been a depressing day #1228,sad
Today has been a depressing day #1229,sad
Today has been a depressing day #1230,sad
I feel emotionally down #1231,sad
I feel very lonely today #1232,sad
I feel very lonely today #1233,sad
I am not feeling good today #1234,sad
I am feeling sad #1235,sad
I am not feeling good today #1236,sad
Today has been a depressing day #1237,sad
I am feeling sad #1238,sad
I feel very lonely today #1239,sad
I am feeling sad #1240,sad
I am not feeling good today #1241,sad
I feel very lonely today #1242,sad
I feel very lonely today #1243,sad
I am not feeling good today #1244,sad
Today has been a depressing day #1245,sad
Today has been a depressing day #1246,sad
I feel emotionally down #1247,sad
I feel emotionally down #1248,sad
Today has been a depressing day #1249,sad
I feel very lonely today #1250,sad
I feel emotionally down #1251,sad
I am feeling sad #1252,sad
Today has been a depressing day #1253,sad
I feel very lonely today #1254,sad
I am not feeling good today #1255,sad
Today has been a depressing day #1256,sad
I am not feeling good today #1257,sad
Today has been a depressing day #1258,sad
Today has been a depressing day #1259,sad
I am not feeling good today #1260,sad
I feel emotionally down #1261,sad
I feel emotionally down #1262,sad
Today has been a depressing day #1263,sad
I am not feeling good today #1264,sad
Today has been a depressing day #1265,sad
I feel emotionally down #1266,sad
Today has been a depressing day #1267,sad
I am feeling sad #1268,sad
I am not feeling good today #1269,sad
I am not feeling good today #1270,sad
I am not feeling good today #1271,sad
I am feeling sad #1272,sad
I feel emotionally down #1273,sad
Today has been a depressing day #1274,sad
I am feeling sad #1275,sad
I feel emotionally down #1276,sad
I feel emotionally down #1277,sad
I feel very lonely today #1278,sad
I am feeling sad #1279,sad
I feel very lonely today #1280,sad
I am not feeling good today #1281,sad
Today has been a depressing day #1282,sad
I am feeling sad #1283,sad
I feel emotionally down #1284,sad
I feel emotionally down #1285,sad
I feel emotionally down #1286,sad
I feel very lonely today #1287,sad
I am not feeling good today #1288,sad
I am feeling sad #1289,sad
I feel very lonely today #1290,sad
I feel very lonely today #1291,sad
I am feeling sad #1292,sad
I am not feeling good today #1293,sad
I am not feeling good today #1294,sad
I feel very lonely today #1295,sad
Today has been a depressing day #1296,sad
I feel very lonely today #1297,sad
I am not feeling good today #1298,sad
Today has been a depressing day #1299,sad
I feel emotionally down #1300,sad
I am feeling sad #1301,sad
I am feeling sad #1302,sad
I feel emotionally down #1303,sad
Today has been a depressing day #1304,sad
I feel very lonely today #1305,sad
I feel very lonely today #1306,sad
I feel very lonely today #1307,sad
I feel very lonely today #1308,sad
I feel very lonely today #1309,sad
I am feeling sad #1310,sad
I feel very lonely today #1311,sad
I feel very lonely today #1312,sad
I am feeling sad #1313,sad
I feel very lonely today #1314,sad
Today has been a depressing day #1315,sad
I am not feeling good today #1316,sad
I feel emotionally down #1317,sad
I feel emotionally down #1318,sad
Today has been a depressing day #1319,sad
I am feeling sad #1320,sad
Today has been a depressing day #1321,sad
I am not feeling good today #1322,sad
I am feeling sad #1323,sad
I am not feeling good today #1324,sad
I am not feeling good today #1325,sad
Today has been a depressing day #1326,sad
I am not feeling good today #1327,sad
I feel emotionally down #1328,sad
I feel very lonely today #1329,sad
I feel emotionally down #1330,sad
I feel very lonely today #1331,sad
I am feeling sad #1332,sad
Today has been a depressing day #1333,sad
I feel very lonely today #1334,sad
I feel emotionally down #1335,sad
I am not feeling good today #1336,sad
I am feeling sad #1337,sad
I feel very lonely today #1338,sad
I feel emotionally down #1339,sad
I feel very lonely today #1340,sad
I feel very lonely today #1341,sad
I feel emotionally down #1342,sad
I am feeling sad #1343,sad
I feel very lonely today #1344,sad
I feel very lonely today #1345,sad
I am not feeling good today #1346,sad
I am not feeling good today #1347,sad
I am not feeling good today #1348,sad
I am not feeling good today #1349,sad
I feel very lonely today #1350,sad
I feel very lonely today #1351,sad
I am not feeling good today #1352,sad
I feel very lonely today #1353,sad
Today has been a depressing day #1354,sad
Today has been a depressing day #1355,sad
I am feeling sad #1356,sad
I feel emotionally down #1357,sad
I feel emotionally down #1358,sad
I feel very lonely today #1359,sad
I feel emotionally down #1360,sad
I feel emotionally down #1361,sad
I feel emotionally down #1362,sad
I am feeling sad #1363,sad
I am not feeling good today #1364,sad
I am not feeling good today #1365,sad
Today has been a depressing day #1366,sad
Today has been a depressing day #1367,sad
I feel emotionally down #1368,sad
I feel emotionally down #1369,sad
I feel very lonely today #1370,sad
I am not feeling good today #1371,sad
I feel emotionally down #1372,sad
Today has been a depressing day #1373,sad
I feel emotionally down #1374,sad
I feel very lonely today #1375,sad
I am not feeling good today #1376,sad
I am not feeling good today #1377,sad
I am not feeling good today #1378,sad
Today has been a depressing day #1379,sad
I feel very lonely today #1380,sad
I am not feeling good today #1381,sad
I am not feeling good today #1382,sad
I am feeling sad #1383,sad
I am not feeling good today #1384,sad
I am feeling sad #1385,sad
I am feeling sad #1386,sad
I feel emotionally down #1387,sad
I am feeling sad #1388,sad
I am feeling sad #1389,sad
Today has been a depressing day #1390,sad
I am not feeling good today #1391,sad
Today has been a depressing day #1392,sad
I am not feeling good today #1393,sad
I feel emotionally down #1394,sad
Today has been a depressing day #1395,sad
I am not feeling good today #1396,sad
I feel very lonely today #1397,sad
I am feeling sad #1398,sad
I feel very lonely today #1399,sad
I am feeling sad #1400,sad
I am not feeling good today #1401,sad
Today has been a depressing day #1402,sad
I am not feeling good today #1403,sad
I feel emotionally down #1404,sad
I am feeling sad #1405,sad
I feel very lonely today #1406,sad
I feel emotionally down #1407,sad
I am not feeling good today #1408,sad
I am feeling sad #1409,sad
I feel emotionally down #1410,sad
I feel emotionally down #1411,sad
I am feeling sad #1412,sad
I feel very lonely today #1413,sad
I am feeling sad #1414,sad
I am feeling sad #1415,sad
I am not feeling good today #1416,sad
I am feeling sad #1417,sad
I am feeling sad #1418,sad
I feel emotionally down #1419,sad
Today has been a depressing day #1420,sad
I am not feeling good today #1421,sad
I am not feeling good today #1422,sad
I feel emotionally down #1423,sad
I feel very lonely today #1424,sad
I am feeling sad #1425,sad
I feel emotionally down #1426,sad
I feel emotionally down #1427,sad
Today has been a depressing day #1428,sad
Today has been a depressing day #1429,sad
I feel very lonely today #1430,sad
I feel very lonely today #1431,sad
I am not feeling good today #1432,sad
I am not feeling good today #1433,sad
Today has been a depressing day #1434,sad
I feel emotionally down #1435,sad
I feel emotionally down #1436,sad
I am feeling sad #1437,sad
I feel emotionally down #1438,sad
I feel very lonely today #1439,sad
I am not feeling good today #1440,sad
I feel emotionally down #1441,sad
I feel very lonely today #1442,sad
I am feeling sad #1443,sad
I feel very lonely today #1444,sad
I am not feeling good today #1445,sad
I feel very lonely today #1446,sad
I am not feeling good today #1447,sad
I feel emotionally down #1448,sad
Today has been a depressing day #1449,sad
Today has been a depressing day #1450,sad
Today has been a depressing day #1451,sad
I am not feeling good today #1452,sad
I feel emotionally down #1453,sad
I am not feeling good today #1454,sad
I feel emotionally down #1455,sad
I feel emotionally down #1456,sad
I am not feeling good today #1457,sad
I am not feeling good today #1458,sad
I am not feeling good today #1459,sad
I am not feeling good today #1460,sad
Today has been a depressing day #1461,sad
I feel emotionally down #1462,sad
I feel very lonely today #1463,sad
Today has been a depressing day #1464,sad
Today has been a depressing day #1465,sad
I feel emotionally down #1466,sad
I am not feeling good today #1467,sad
I feel very lonely today #1468,sad
Today has been a depressing day #1469,sad
I am feeling sad #1470,sad
I feel very lonely today #1471,sad
I feel very lonely today #1472,sad
I feel emotionally down #1473,sad
I am feeling sad #1474,sad
Today has been a depressing day #1475,sad
Today has been a depressing day #1476,sad
I am not feeling good today #1477,sad
I am not feeling good today #1478,sad
Today has been a depressing day #1479,sad
I am feeling sad #1480,sad
I am not feeling good today #1481,sad
Today has been a depressing day #1482,sad
I feel very lonely today #1483,sad
I am not feeling good today #1484,sad
I am not feeling good today #1485,sad
Today has been a depressing day #1486,sad
I am feeling sad #1487,sad
I am not feeling good today #1488,sad
I am not feeling good today #1489,sad
I am not feeling good today #1490,sad
I am feeling sad #1491,sad
I feel very lonely today #1492,sad
I am feeling sad #1493,sad
I feel very lonely today #1494,sad
I am feeling sad #1495,sad
Today has been a depressing day #1496,sad
I am not feeling good today #1497,sad
I am not feeling good today #1498,sad
Today has been a depressing day #1499,sad
I feel emotionally down #1500,sad
I am feeling sad #1501,sad
I am not feeling good today #1502,sad
I feel very lonely today #1503,sad
I feel emotionally down #1504,sad
I am feeling sad #1505,sad
I am not feeling good today #1506,sad
I feel very lonely today #1507,sad
I feel emotionally down #1508,sad
Today has been a depressing day #1509,sad
I am not feeling good today #1510,sad
I am feeling sad #1511,sad
Today has been a depressing day #1512,sad
I feel emotionally down #1513,sad
Today has been a depressing day #1514,sad
I feel emotionally down #1515,sad
I am feeling sad #1516,sad
I am not feeling good today #1517,sad
I am not feeling good today #1518,sad
I feel very lonely today #1519,sad
I feel very lonely today #1520,sad
Today has been a depressing day #1521,sad
I feel very lonely today #1522,sad
I am feeling sad #1523,sad
I feel emotionally down #1524,sad
I feel emotionally down #1525,sad
I am feeling sad #1526,sad
Today has been a depressing day #1527,sad
I am feeling sad #1528,sad
Today has been a depressing day #1529,sad
I am not feeling good today #1530,sad
I feel emotionally down #1531,sad
Today has been a depressing day #1532,sad
I am feeling sad #1533,sad
I feel emotionally down #1534,sad
I am feeling sad #1535,sad
Today has been a depressing day #1536,sad
I feel emotionally down #1537,sad
Today has been a depressing day #1538,sad
I feel emotionally down #1539,sad
I am feeling sad #1540,sad
I feel emotionally down #1541,sad
I feel emotionally down #1542,sad
I am not feeling good today #1543,sad
I feel emotionally down #1544,sad
I feel emotionally down #1545,sad
I feel emotionally down #1546,sad
I am feeling sad #1547,sad
I am not feeling good today #1548,sad
I feel emotionally down #1549,sad
I feel very lonely today #1550,sad
I feel very lonely today #1551,sad
Today has been a depressing day #1552,sad
I am feeling sad #1553,sad
I am feeling sad #1554,sad
I feel emotionally down #1555,sad
Today has been a depressing day #1556,sad
I am not feeling good today #1557,sad
I feel very lonely today #1558,sad
I am not feeling good today #1559,sad
I am feeling sad #1560,sad
Today has been a depressing day #1561,sad
I am not feeling good today #1562,sad
I am feeling sad #1563,sad
I am feeling sad #1564,sad
I feel emotionally down #1565,sad
I am feeling sad #1566,sad
I feel very lonely today #1567,sad
I am feeling sad #1568,sad
Today has been a depressing day #1569,sad
Today has been a depressing day #1570,sad
I feel very lonely today #1571,sad
Today has been a depressing day #1572,sad
I feel emotionally down #1573,sad
Today has been a depressing day #1574,sad
I am not feeling good today #1575,sad
I feel emotionally down #1576,sad
I am not feeling good today #1577,sad
I feel very lonely today #1578,sad
I feel emotionally down #1579,sad
Today has been a depressing day #1580,sad
I am not feeling good today #1581,sad
Today has been a depressing day #1582,sad
I am feeling sad #1583,sad
I am feeling sad #1584,sad
I am feeling sad #1585,sad
I feel emotionally down #1586,sad
I am feeling sad #1587,sad
I am not feeling good today #1588,sad
I am feeling sad #1589,sad
I am not feeling good today #1590,sad
I feel very lonely today #1591,sad
I am feeling sad #1592,sad
I am feeling sad #1593,sad
I feel emotionally down #1594,sad
I feel very lonely today #1595,sad
I feel very lonely today #1596,sad
I am feeling sad #1597,sad
Today has been a depressing day #1598,sad
I am feeling sad #1599,sad
I feel very lonely today #1600,sad
I am not feeling good today #1601,sad
I feel very lonely today #1602,sad
I am not feeling good today #1603,sad
I am feeling sad #1604,sad
I feel very lonely today #1605,sad
I feel emotionally down #1606,sad
I feel very lonely today #1607,sad
Today has been a depressing day #1608,sad
I am not feeling good today #1609,sad
I feel emotionally down #1610,sad
Today has been a depressing day #1611,sad
Today has been a depressing day #1612,sad
I am not feeling good today #1613,sad
Today has been a depressing day #1614,sad
I feel very lonely today #1615,sad
I am not feeling good today #1616,sad
I feel very lonely today #1617,sad
I feel emotionally down #1618,sad
I feel emotionally down #1619,sad
I am not feeling good today #1620,sad
I am not feeling good today #1621,sad
I am feeling sad #1622,sad
I feel emotionally down #1623,sad
I am not feeling good today #1624,sad
I feel emotionally down #1625,sad
I feel emotionally down #1626,sad
I feel very lonely today #1627,sad
I am not feeling good today #1628,sad
I feel emotionally down #1629,sad
I am feeling sad #1630,sad
I feel emotionally down #1631,sad
I feel very lonely today #1632,sad
I am feeling sad #1633,sad
Today has been a depressing day #1634,sad
I feel very lonely today #1635,sad
Today has been a depressing day #1636,sad
Today has been a depressing day #1637,sad
I am not feeling good today #1638,sad
I feel very lonely today #1639,sad
I feel very lonely today #1640,sad
I feel emotionally down #1641,sad
I feel very lonely today #1642,sad
Today has been a depressing day #1643,sad
I am not feeling good today #1644,sad
I feel emotionally down #1645,sad
I am not feeling good today #1646,sad
I feel very lonely today #1647,sad
I am feeling sad #1648,sad
I feel emotionally down #1649,sad
I feel emotionally down #1650,sad
I am not feeling good today #1651,sad
I feel very lonely today #1652,sad
I feel emotionally down #1653,sad
Today has been a depressing day #1654,sad
I am feeling sad #1655,sad
Today has been a depressing day #1656,sad
I am feeling sad #1657,sad
Today has been a depressing day #1658,sad
I am not feeling good today #1659,sad
I feel very lonely today #1660,sad
Today has been a depressing day #1661,sad
I feel emotionally down #1662,sad
I am not feeling good today #1663,sad
Today has been a depressing day #1664,sad
I am not feeling good today #1665,sad
I am feeling sad #1666,sad
Today has been a depressing day #1667,sad
Today has been a depressing day #1668,sad
Today has been a depressing day #1669,sad
I am not feeling good today #1670,sad
I feel emotionally down #1671,sad
Today has been a depressing day #1672,sad
I am not feeling good today #1673,sad
I am not feeling good today #1674,sad
I feel very lonely today #1675,sad
Today has been a depressing day #1676,sad
I feel emotionally down #1677,sad
I am not feeling good today #1678,sad
I am not feeling good today #1679,sad
I feel very lonely today #1680,sad
I feel very lonely today #1681,sad
I am feeling sad #1682,sad
I feel very lonely today #1683,sad
I am feeling sad #1684,sad
I am feeling sad #1685,sad
I feel very lonely today #1686,sad
I feel very lonely today #1687,sad
I feel emotionally down #1688,sad
I am feeling sad #1689,sad
I feel emotionally down #1690,sad
I feel very lonely today #1691,sad
I am not feeling good today #1692,sad
I am feeling sad #1693,sad
I feel very lonely today #1694,sad
I feel very lonely today #1695,sad
Today has been a depressing day #1696,sad
I feel very lonely today #1697,sad
I am feeling sad #1698,sad
I am feeling sad #1699,sad
I am feeling sad #1700,sad
I feel very lonely today #1701,sad
I feel emotionally down #1702,sad
I am feeling sad #1703,sad
I am not feeling good today #1704,sad
I am not feeling good today #1705,sad
I feel very lonely today #1706,sad
Today has been a depressing day #1707,sad
Today has been a depressing day #1708,sad
I feel very lonely today #1709,sad
Today has been a depressing day #1710,sad
I am feeling sad #1711,sad
I feel very lonely today #1712,sad
I feel very lonely today #1713,sad
Today has been a depressing day #1714,sad
I am not feeling good today #1715,sad
I am not feeling good today #1716,sad
I am feeling sad #1717,sad
I am not feeling good today #1718,sad
I am feeling sad #1719,sad
I feel very lonely today #1720,sad
I feel emotionally down #1721,sad
I am feeling sad #1722,sad
Today has been a depressing day #1723,sad
Today has been a depressing day #1724,sad
I feel emotionally down #1725,sad
Today has been a depressing day #1726,sad
Today has been a depressing day #1727,sad
I am feeling sad #1728,sad
I am feeling sad #1729,sad
I am feeling sad #1730,sad
I am feeling sad #1731,sad
I feel emotionally down #1732,sad
I feel emotionally down #1733,sad
I am not feeling good today #1734,sad
Today has been a depressing day #1735,sad
I am not feeling good today #1736,sad
I am not feeling good today #1737,sad
I feel emotionally down #1738,sad
I feel very lonely today #1739,sad
Today has been a depressing day #1740,sad
I am feeling sad #1741,sad
I am feeling sad #1742,sad
I am not feeling good today #1743,sad
Today has been a depressing day #1744,sad
I feel emotionally down #1745,sad
I feel emotionally down #1746,sad
I am not feeling good today #1747,sad
I feel emotionally down #1748,sad
I feel very lonely today #1749,sad
I feel emotionally down #1750,sad
I am not feeling good today #1751,sad
Today has been a depressing day #1752,sad
I am not feeling good today #1753,sad
I feel very lonely today #1754,sad
I am feeling sad #1755,sad
I am feeling sad #1756,sad
I feel very lonely today #1757,sad
I am not feeling good today #1758,sad
I feel very lonely today #1759,sad
Today has been a depressing day #1760,sad
